ICN,Corporation,Incorporation Date,Status,Status Date,Size,ABN,State,Post Code,Locality,Industry,ACNC Registered?,Numbe of Members,Numbe of Directors,Number of Directors with the Title 'Mr',Number of Directors with the Title 'Miss' or 'Mrs' or 'Ms',Number of Directors with no Sex-Identifying Title,Total Income 2019/20,Total Assets 2019/20,Number of Employees 2019/20,Total Income 2020/21,Total Assets 2020/21,Number of Employees 2020/21,Total Income 2021/22,Total Assets 2021/22,Number of Employees 2021/22,URL,,,,,,,,,,,,,
8801,Muk Muk Aboriginal Corporation,16/03/2018,Deregistered,8/03/2023,Small,,NT,0820,STUART PARK,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8801,,,,,,,,,,,,,
8802,Gulngay Kinjufile Aboriginal Corporation RNTBC,19/03/2018,Registered,19/03/2018,Small,94573627020,QLD,4854,Tully,"Agriculture, aquaculture, forestry, fishing; Education and training; Employment; Land and waters management?care for Country",,6,5,3,2,0,< $100K,< $100K, 1-4,,,0,,, 1-4,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8802,,,,,,,,,,,,,
8803,Nalingu Gunya Aboriginal and Torres Strait Islander Corporation,19/03/2018,Registered,19/03/2018,Small,42619564645,QLD,4127,Slacks Creek,"Agriculture, aquaculture, forestry, fishing; Arts; Community services; Education and training; Employment; Health care and health promotion; Heritage and culture; Hospitality and tourism; Land and waters management?care for Country; Other; Other services; Spiritual congregation and religion; Wholesale and retail trade (shops)",,5,1,0,0,1,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8803,,,,,,,,,,,,,
8804,Granny Polo Women's Aboriginal Corporation,19/03/2018,Registered,19/03/2018,Small,,QLD,4285,BEAUDESERT,Community services; Other,,10,7,0,7,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8804,,,,,,,,,,,,,
8805,Kirra of Mari Parrintyi (Parintji) Aboriginal Corporation,22/03/2018,Registered,22/03/2018,Small,,VIC,3501,KOORLONG,Land and waters management?care for Country,,12,6,1,4,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8805,,,,,,,,,,,,,
8807,Cunnara Paiabun Aboriginal and Torres Strait Islander Corporation,22/03/2018,Registered,22/03/2018,Small,37224689282,QLD,4305,EAST IPSWICH,Community services; Health care and health promotion; Other,,4,3,0,2,0,$100K - $5m,< $100K, 1-4,$100K - $5m,< $100K, 1-4,$100K - $5m,< $100K, 1-4,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8807,,,,,,,,,,,,,
8808,Julyardi Aboriginal Corporation,22/03/2018,Registered,22/03/2018,Medium,78525401907,WA,6722,SOUTH HEDLAND,Community services; Education and training; Health care and health promotion,Y,5,5,2,2,0,$100K - $5m,$100K - $2.5m, 5-24,$100K - $5m,$100K - $2.5m, 5-24,$100K - $5m,$100K - $2.5m, 5-24,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8808,,,,,,,,,,,,,
8810,Burnett Auburn Nogo Dawes Peoples Aboriginal Corporation,22/03/2018,Deregistered,8/03/2023,Small,,QLD,4627,EIDSVOLD,Community services; Education and training; Employment; Health care and health promotion; Housing and tenancy; Other services,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8810,,,,,,,,,,,,,
8811,First Nation's Breakthrough Ministries Indigenous Corporation,22/03/2018,Registered,22/03/2018,Small,,QLD,4160,WELLINGTON POINT,Community services; Education and training; Other; Other services; Spiritual congregation and religion,,12,3,1,0,0,,,0,,,0,,,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8811,,,,,,,,,,,,,
8812,Comalgoola Aboriginal Corporation,23/03/2018,Registered,23/03/2018,Small,43745183624,NSW,2444,Port Macquarie,Arts; Communication services; Community services; Education and training; Employment; Health care and health promotion; Heritage and culture; Hospitality and tourism; Housing and tenancy; Land and waters management?care for Country; Other; Other services,,32,5,3,2,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8812,,,,,,,,,,,,,
8813,Yimbardee Aboriginal Corporation,27/03/2018,Registered,27/03/2018,Small,,WA,6848,Perth,Other services,,9,5,2,2,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8813,,,,,,,,,,,,,
8814,Kozan Outreach Fellowship Ministry Indigenous Corporation,27/03/2018,Registered,27/03/2018,Small,28200298381,QLD,4875,MOA ISLAND,Other; Spiritual congregation and religion,,23,8,2,6,0,< $100K,< $100K,0,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8814,,,,,,,,,,,,,
8815,Taribelang Cultural Aboriginal Corporation,29/03/2018,Registered,29/03/2018,Small,57394665950,QLD,4670,BUNDABERG,,,14,5,1,2,0,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8815,,,,,,,,,,,,,
8817,Cunnara Giluma Aboriginal and Torres Strait Islander Corporation,05/06/2018,Registered,5/06/2018,Small,60225021129,QLD,4305,LEICHHARDT,Community services; Education and training; Employment; Health care and health promotion; Hospitality and tourism; Housing and tenancy; Other,,6,4,0,4,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8817,,,,,,,,,,,,,
8818,Jungun Spring Aboriginal Corporation,04/04/2018,Registered,4/04/2018,Small,,WA,6725,BROOME,"Agriculture, aquaculture, forestry, fishing; Arts; Other; Other services",,5,6,2,3,0,< $100K,< $100K,0,< $100K,< $100K, 1-4,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8818,,,,,,,,,,,,,
8819,LTW Aboriginal Corporation,02/05/2018,Registered,2/05/2018,Small,,QLD,4680,GLADSTONE,Education and training; Employment; Land and waters management?care for Country,,15,3,0,3,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8819,,,,,,,,,,,,,
8820,Ipikaziw Kub Torres Strait Islander Corporation,18/04/2018,Deregistered,8/03/2023,Small,,QLD,4875,THURSDAY ISLAND,Community services; Health care and health promotion,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8820,,,,,,,,,,,,,
8821,Yonga Downs Aboriginal Corporation,24/04/2018,Deregistered,8/03/2023,Small,,WA,6317,KATANNING,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8821,,,,,,,,,,,,,
8822,Barking Owl Aboriginal Corporation,20/04/2018,Registered,20/04/2018,Small,88241973761,NSW,2770,MOUNT DRUITT,Land and waters management?care for Country; Other,,11,3,1,2,0,,, 1-4,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8822,,,,,,,,,,,,,
8823,Pine Hill West Aboriginal Corporation RNTBC,24/04/2018,Registered,24/04/2018,Small,,NT,0870,ALICE SPRINGS,Land and waters management?care for Country; Other,,19,9,4,2,0,< $100K,< $100K,0,< $100K,< $100K,0,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8823,,,,,,,,,,,,,
8827,NSW Indigenous League Aboriginal Corporation,02/05/2018,Deregistered,8/03/2023,Small,83169685640,NSW,2440,KEMPSEY,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8827,,,,,,,,,,,,,
8828,Kuyumu Aboriginal Corporation,03/05/2018,Registered,3/05/2018,Small,,QLD,4892,COEN,Other services,,8,4,1,3,0,< $100K,< $100K,0,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8828,,,,,,,,,,,,,
8830,Maatchangk Aboriginal Corporation,29/05/2018,Registered,29/05/2018,Small,,QLD,4874,WEIPA,Land and waters management?care for Country; Other,,3,3,1,2,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8830,,,,,,,,,,,,,
8831,Tuwanapila Aboriginal Corporation,11/05/2018,Registered,11/05/2018,Small,66729653699,NT,0822,PIRLANGIMPI,Other,,12,4,3,1,0,< $100K,< $100K,0,< $100K,< $100K,0,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8831,,,,,,,,,,,,,
8832,Blackwattle Community Creative Aboriginal Corporation,18/05/2018,Deregistered,8/03/2023,Small,66887849422,NSW,2400,MOREE,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8832,,,,,,,,,,,,,
8833,Brigalow Aboriginal Corporation,18/05/2018,Registered,18/05/2018,Small,,QLD,4680,GLADSTONE BC,Other; Other services,,6,5,4,1,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8833,,,,,,,,,,,,,
8834,Featherfoot Aboriginal Corporation,18/05/2018,Registered,18/05/2018,Small,63949242958,NSW,2050,CAMPERDOWN,"Agriculture, aquaculture, forestry, fishing; Community services; Education and training; Employment; Health care and health promotion; Heritage and culture; Hospitality and tourism; Housing and tenancy; Land and waters management?care for Country; Mining and mining support services; Municipal services; Other; Other services; Spiritual congregation and religion",,1,1,1,0,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8834,,,,,,,,,,,,,
8835,Learning on Country Aboriginal Corporation,21/05/2018,Deregistered,29/06/2023,Small,42494572104,NT,0880,NHULUNBUY,Education and training,,,,,,,< $100K,< $100K,0,< $100K,< $100K,0,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8835,,,,,,,,,,,,,
8836,Ngana Malngkanichi Pama (CNCRM) Aboriginal Corporation,25/05/2018,Registered,25/05/2018,Small,19643179357,QLD,4892,LOCKHART RIVER,Land and waters management?care for Country,,58,10,3,6,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K, 1-4,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8836,,,,,,,,,,,,,
8837,Nicholls Foundation Aboriginal Corporation,29/05/2018,Registered,29/05/2018,Small,51982305328,VIC,3060,FAWKNER,Community services; Health care and health promotion; Land and waters management?care for Country,,16,5,3,2,0,< $100K,< $100K,0,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8837,,,,,,,,,,,,,
8838,BRUS - Bairnsdale Regional Unlimited Sports (Aboriginal Corporation),01/06/2018,Registered,1/06/2018,Small,56762470616,VIC,3875,BAIRNSDALE,Community services; Other,,24,10,1,9,0,< $100K,< $100K,0,< $100K,< $100K,0,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8838,,,,,,,,,,,,,
8839,Southern Cairns Aboriginal and Torres Strait Islander Corporation for Family and Youth,29/05/2018,Registered,29/05/2018,Small,70542585459,QLD,4869,BENTLEY PARK,Other; Other services,,6,6,3,3,0,,,0,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8839,,,,,,,,,,,,,
8842,iHELP Indigenous Corporation,31/05/2018,Registered,31/05/2018,Small,94563922587,WA,6155,Canning Vale,Education and training; Employment,Y,5,5,3,2,0,$100K - $5m,< $100K,0,,,0,< $100K,< $100K, 1-4,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8842,,,,,,,,,,,,,
8843,Amoonguna Community Development Aboriginal Corporation,01/06/2018,Registered,1/06/2018,Small,67469834805,NT,0873,AMOONGUNA,Arts; Communication services; Community services; Construction; Housing and tenancy; Municipal services; Other,Y,9,7,3,4,0,,,,< $100K,< $100K, 1-4,< $100K,< $100K, 1-4,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8843,,,,,,,,,,,,,
8845,Border Region Community Justice Group Indigenous Corporation (Border Region CJG),07/06/2018,Registered,7/06/2018,Small,,QLD,4390,Goondiwindi,Community services; Other,,8,5,1,3,0,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8845,,,,,,,,,,,,,
8846,Bila Muuji Aboriginal Corporation Health Service,21/06/2018,Registered,21/06/2018,Medium,24169186744,NSW,2830,DUBBO,Community services; Health care and health promotion; Other,Y,7,6,2,3,0,$100K - $5m,$100K - $2.5m, 5-24,$100K - $5m,$100K - $2.5m, 5-24,$100K - $5m,$100K - $2.5m, 1-4,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8846,,,,,,,,,,,,,
8847,Badimaya Nyingarn Tjuba Indigenous Corporation,08/06/2018,Registered,8/06/2018,Small,44690256033,WA,6063,BEECHBORO,"Agriculture, aquaculture, forestry, fishing; Arts; Community services; Construction; Education and training; Employment; Health care and health promotion; Heritage and culture; Hospitality and tourism; Housing and tenancy; Land and waters management?care for Country; Mining and mining support services; Other",,25,5,4,1,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8847,,,,,,,,,,,,,
8848,Wurrathaa Aboriginal Corporation,15/06/2018,Registered,15/06/2018,Small,,QLD,4892,PORMPURAAW,Land and waters management?care for Country; Other,,24,4,3,1,0,< $100K,< $100K,0,< $100K,< $100K,0,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8848,,,,,,,,,,,,,
8850,Us Mob Writing Group Aboriginal and Torres Strait Islander Corporation,19/06/2018,Registered,19/06/2018,Small,34610882084,ACT,2905,THEODORE,Other,,13,3,0,3,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8850,,,,,,,,,,,,,
8852,Gamayngal Aboriginal Corporation,22/06/2018,Registered,22/06/2018,Small,,NSW,2036,LA PEROUSE,Community services; Health care and health promotion,,7,7,3,4,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8852,,,,,,,,,,,,,
8853,The National Aboriginal Corporation of Australia,26/06/2018,Registered,26/06/2018,Small,46328167352,QLD,4868,MOUNT SHERIDAN,Heritage and culture; Other,Y,4,2,0,2,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8853,,,,,,,,,,,,,
8854,Ngunnawal Mura Gadi Aboriginal Corporation,26/06/2018,Registered,26/06/2018,Small,,NSW,2250,NIAGARA PARK,Other,,5,3,2,1,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8854,,,,,,,,,,,,,
8855,Bambigi Aboriginal and Torres Strait Islander Corporation,27/06/2018,Registered,27/06/2018,Small,56497605389,NSW,2680,GRIFFITH,Community services; Other,Y,5,3,1,2,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8855,,,,,,,,,,,,,
8856,Buyuh-wan Aboriginal Corporation,26/06/2018,Deregistered,8/03/2023,Small,94807259466,NSW,2486,BANORA POINT,Other,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8856,,,,,,,,,,,,,
8857,Groote Eylandt Community Watch Aboriginal Corporation,27/06/2018,Registered,27/06/2018,Small,,NT,0885,ALYANGULA,Community services; Health care and health promotion,,11,4,3,0,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8857,,,,,,,,,,,,,
8858,Thiinyaay Aboriginal Corporation,27/06/2018,Registered,27/06/2018,Small,44936736446,NSW,2650,WAGGA WAGGA,Education and training; Employment,,2,2,1,1,0,,,,< $100K,< $100K, 1-4,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8858,,,,,,,,,,,,,
8859,Koonibba Community Aboriginal Corporation - General Store,28/06/2018,Deregistered,18/07/2022,Medium,17164627287,SA,5690,KOONIBBA,Other; Wholesale and retail trade (shops),,,,,,,$100K - $5m,> $2.5m, 1-4,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8859,,,,,,,,,,,,,
8860,Wakamurru (Aboriginal Corporation) RNTBC,28/06/2018,Registered,28/06/2018,Small,,WA,6004,EAST PERTH,Heritage and culture; Land and waters management?care for Country,Y,80,5,4,1,0,< $100K,$100K - $2.5m,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8860,,,,,,,,,,,,,
8861,Greater Eastern Nations Golf Aboriginal Corporation,29/06/2018,Deregistered,8/03/2023,Small,69122106371,NSW,2570,SPRING FARM,Community services; Other,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8861,,,,,,,,,,,,,
8862,Town Bore Family Project Aboriginal Corporation,05/07/2018,Deregistered,8/03/2023,Small,,NT,0872,PAPUNYA,Education and training; Employment; Other services,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8862,,,,,,,,,,,,,
8863,Baada Aboriginal Corporation,24/07/2018,Registered,24/07/2018,Small,80498525350,WA,6726,CABLE BEACH,Other,,1,1,1,0,0,< $100K,< $100K,0,< $100K,< $100K,0,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8863,,,,,,,,,,,,,
8866,Yowengarra Bun Wurrung Balug Clans Aboriginal Corporation,05/07/2018,Registered,5/07/2018,Small,13790516301,VIC,3992,Dalyston,Community services; Education and training; Health care and health promotion; Land and waters management?care for Country; Other services,,5,4,0,3,0,< $100K,< $100K,0,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8866,,,,,,,,,,,,,
8867,Buluwai Indigenous Corporation,13/07/2018,Registered,13/07/2018,Small,96436886694,QLD,4881,KURANDA,Land and waters management?care for Country,,19,8,6,2,0,< $100K,< $100K,0,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8867,,,,,,,,,,,,,
8868,Nimmie Caira Land & Water Aboriginal Corporation,10/07/2018,Registered,10/07/2018,Small,96456072803,VIC,3549,ROBINVALE,Community services; Education and training; Employment; Health care and health promotion; Land and waters management?care for Country; Other,,8,6,2,4,0,< $100K,< $100K,0,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8868,,,,,,,,,,,,,
8869,Waluwarra Georgina Sulieman Rivers People Aboriginal Corporation,10/07/2018,Registered,10/07/2018,Small,,QLD,4730,LONGREACH,Land and waters management?care for Country,,7,3,1,2,0,< $100K,< $100K,0,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8869,,,,,,,,,,,,,
8870,Wirrawandi Aboriginal Corporation RNTBC,11/07/2018,Registered,11/07/2018,Small,45465856747,WA,6714,KARRATHA,Heritage and culture; Land and waters management?care for Country,Y,167,12,4,8,0,,,0,< $100K,< $100K, 1-4,,,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8870,,,,,,,,,,,,,
8871,Nanda Aboriginal Corporation RNTBC,12/07/2018,Registered,12/07/2018,Small,75504206861,WA,6530,GERALDTON,Education and training; Heritage and culture; Land and waters management?care for Country,,644,10,5,5,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8871,,,,,,,,,,,,,
8873,iDeadly Indigenous Corporation,26/07/2018,Registered,26/07/2018,Small,42708311836,NSW,2018,EASTLAKES,Arts; Communication services; Education and training; Employment; Health care and health promotion; Other,,1,1,0,1,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K, 1-4,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8873,,,,,,,,,,,,,
8875,Kali-Tech Aboriginal Corporation,23/07/2018,Registered,23/07/2018,Small,97431750322,WA,6155,Canning Vale,Communication services; Health care and health promotion; Other,,4,2,2,0,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K, 1-4,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8875,,,,,,,,,,,,,
8876,Ian Goolagong Construction and Supply Group Indigenous Corporation,26/07/2018,Deregistered,8/03/2023,Small,20660084898,NSW,2259,CHAIN VALLEY BAY,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8876,,,,,,,,,,,,,
8877,Naru Indigenous Corporation,26/07/2018,Registered,26/07/2018,Small,93965583579,NSW,2450,COFFS HARBOUR,Community services; Education and training; Health care and health promotion; Other,Y,7,5,2,2,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8877,,,,,,,,,,,,,
8878,Ngalima Ngurru Aboriginal Corporation,01/08/2018,Deregistered,8/03/2023,Small,98676530890,QLD,4825,MOUNT ISA,Other,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8878,,,,,,,,,,,,,
8879,Wuyagiba Bush Hub Aboriginal Corporation,03/08/2018,Registered,3/08/2018,Medium,72970745626,NT,0852,Ngukurr,Education and training; Employment,,11,4,3,1,0,$100K - $5m,$100K - $2.5m, 1-4,$100K - $5m,$100K - $2.5m, 1-4,$100K - $5m,$100K - $2.5m, 1-4,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8879,,,,,,,,,,,,,
8880,Box Tree Aboriginal Corporation,06/08/2018,Registered,6/08/2018,Small,,QLD,4350,Wilsonton,Communication services; Other,,21,4,1,2,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8880,,,,,,,,,,,,,
8881,Black Star Aboriginal Corporation,07/08/2018,Registered,7/08/2018,Small,57441108153,NSW,2448,NAMBUCCA HEADS,Land and waters management?care for Country,,19,4,3,0,0,,,0,< $100K,< $100K,0,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8881,,,,,,,,,,,,,
8882,Yunytju Aboriginal Corporation,09/08/2018,Registered,9/08/2018,Small,57163349762,NT,0870,ALICE SPRINGS,,Y,36,7,4,3,0,< $100K,< $100K,0,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8882,,,,,,,,,,,,,
8883,Kureinji Aboriginal Corporation,21/08/2018,Registered,21/08/2018,Small,94146944232,VIC,3501,NICHOLS POINT,Land and waters management?care for Country; Other; Other services,,70,3,1,2,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8883,,,,,,,,,,,,,
8884,Balabalaa Aboriginal Corporation,09/08/2018,Registered,9/08/2018,Small,,NSW,2250,Erina,,,6,6,1,5,0,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8884,,,,,,,,,,,,,
8885,Wambilbayi Rodeo and Sporting Indigenous Corporation,15/08/2018,Registered,15/08/2018,Small,,QLD,4830,DOOMADGEE,,,18,6,1,4,0,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8885,,,,,,,,,,,,,
8886,Gagu Land Services Aboriginal Corporation,21/08/2018,Registered,21/08/2018,Small,81984506681,NSW,2449,BOWRAVILLE,Land and waters management?care for Country,,1,1,1,0,0,< $100K,< $100K, 1-4,< $100K,< $100K,0,< $100K,< $100K, 1-4,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8886,,,,,,,,,,,,,
8887,Bagala Store Aboriginal Corporation,22/08/2018,Registered,22/08/2018,Medium,27605194643,NT,0810,CASUARINA,Wholesale and retail trade (shops),Y,11,11,2,7,1,$100K - $5m,$100K - $2.5m, 5-24,$100K - $5m,$100K - $2.5m, 5-24,$100K - $5m,$100K - $2.5m, 5-24,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8887,,,,,,,,,,,,,
8888,Rapi (Aboriginal Corporation) RNTBC,22/08/2018,Registered,22/08/2018,Small,63242485126,WA,6004,EAST PERTH,Land and waters management?care for Country,Y,38,8,4,4,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,$100K - $2.5m,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8888,,,,,,,,,,,,,
8889,Anindilyakwa Housing Aboriginal Corporation,29/08/2018,Registered,29/08/2018,Large,20540220127,NT,0822,Angurugu,Housing and tenancy,Y,64,7,3,4,0,$100K - $5m,$100K - $2.5m, 5-24,> $5m,> $2.5m, 5-24,> $5m,> $2.5m, 5-24,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8889,,,,,,,,,,,,,
8890,Darug Boorooberongal Elders Aboriginal Corporation,23/08/2018,Registered,23/08/2018,Small,76170262247,NSW,2763,Quakers Hill,Heritage and culture; Other; Other services,,6,6,1,5,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8890,,,,,,,,,,,,,
8891,Rockpools and Ochre Consultancy Aboriginal Corporation,03/09/2018,Registered,3/09/2018,Small,96978649250,NT,0810,MUIRHEAD,Community services; Health care and health promotion; Other; Other services,,1,1,1,0,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8891,,,,,,,,,,,,,
8893,Booru Aboriginal Corporation,29/08/2018,Registered,29/08/2018,Small,66840636055,NSW,2440,South Kempsey,Other,,5,5,5,0,0,< $100K,< $100K, 5-24,< $100K,< $100K,0,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8893,,,,,,,,,,,,,
8894,Wirib Aboriginal Corporation,29/08/2018,Registered,29/08/2018,Medium,64600048468,NT,0852,TIMBER CREEK,Hospitality and tourism; Wholesale and retail trade (shops),Y,11,8,1,5,0,$100K - $5m,$100K - $2.5m, 5-24,$100K - $5m,$100K - $2.5m, 5-24,$100K - $5m,$100K - $2.5m, 5-24,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8894,,,,,,,,,,,,,
8895,Gkuthaarn and Kukatj Aboriginal Corporation RNTBC,04/09/2018,Registered,4/09/2018,Medium,80175003276,QLD,4870,CAIRNS,Land and waters management?care for Country; Other,Y,89,9,3,6,0,< $100K,< $100K,0,$100K - $5m,$100K - $2.5m,0,$100K - $5m,$100K - $2.5m,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=8895,,,,,,,,,,,,,
