ICN,Corporation,Incorporation Date,Status,Status Date,Size,ABN,State,Post Code,Locality,Industry,ACNC Registered?,Numbe of Members,Numbe of Directors,Number of Directors with the Title 'Mr',Number of Directors with the Title 'Miss' or 'Mrs' or 'Ms',Number of Directors with no Sex-Identifying Title,Total Income 2019/20,Total Assets 2019/20,Number of Employees 2019/20,Total Income 2020/21,Total Assets 2020/21,Number of Employees 2020/21,Total Income 2021/22,Total Assets 2021/22,Number of Employees 2021/22,URL,,,,,,,,,,,,,
49,Gilgandra Aboriginal Corporation,18/01/1980,Deregistered,29/11/2005,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=49,,,,,,,,,,,,,
50,Kurrkangunya Aboriginal Corporation,14/01/1980,Deregistered,29/11/1983,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=50,,,,,,,,,,,,,
51,Mungindi Aboriginal Corporation,11/02/1980,Deregistered,10/02/2004,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=51,,,,,,,,,,,,,
52,Ilwemp-Akerte Aboriginal Corporation,10/04/1980,Deregistered,26/09/1995,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=52,,,,,,,,,,,,,
53,Central Queensland Aboriginal Corporation for Cultural Activities,11/02/1980,Registered,11/02/1980,Small,31650257585,QLD,4702,PARKHURST,Arts; Community services; Education and training; Heritage and culture,Y,24,5,0,3,1,< $100K,> $2.5m,0,$100K - $5m,> $2.5m,0,< $100K,> $2.5m,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=53,,,,,,,,,,,,,
54,Mount Morgan Aboriginal Corporation,18/01/1980,Registered,18/01/1980,Small,13782037997,QLD,4714,MOUNT MORGAN,Housing and tenancy; Other,,47,2,1,1,0,,,0,< $100K,< $100K, 1-4,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=54,,,,,,,,,,,,,
55,New England Aboriginal Corporation,11/02/1980,Registered,11/02/1980,Medium,93769071672,NSW,2350,ARMIDALE,Housing and tenancy,Y,46,11,7,3,0,$100K - $5m,$100K - $2.5m,0,$100K - $5m,$100K - $2.5m,0,$100K - $5m,$100K - $2.5m,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=55,,,,,,,,,,,,,
56,Gumbangerrii Aboriginal Corporation,25/06/1980,Registered,25/06/1980,Small,,NSW,2448,NAMBUCCA HEADS,Housing and tenancy; Other,Y,82,7,2,5,0,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=56,,,,,,,,,,,,,
57,Tarrawarra Aboriginal Corporation,25/02/1980,Deregistered,12/05/1999,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=57,,,,,,,,,,,,,
59,Kora Adult Education Aboriginal Corporation,11/02/1980,Deregistered,24/10/2009,Small,,WA,6053,BAYSWATER,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=59,,,,,,,,,,,,,
